Job Title,Job URL,python,sql,excel,power bi,tableau,machine learning,aws,snowflake,risk management,compliance,trading,investment banking,quantitative,kyc,aml,portfolio
"Data Analyst, Specialist",https://www.efinancialcareers.com/jobs-United_States-Charlotte-Data_Analyst_Specialist.id23851597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Analyst, Specialist",https://www.efinancialcareers.com/jobs-United_States-Charlotte-Data_Analyst_Specialist.id23832492,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Data Analyst Intern,https://www.efinancialcareers.com/jobs-United_States-Denver-Data_Analyst_Intern.id23826573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product Data Analyst,https://www.efinancialcareers.com/jobs-United_States-Draper-Product_Data_Analyst.id23815141,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"DATA ANALYST / ASSOCIATE, DATA SERVICES (INVESTMENT OPERATIONS)",https://www.efinancialcareers.com/jobs-Hong_Kong-Hong_Kong-DATA_ANALYST__ASSOCIATE_DATA_SERVICES_INVESTMENT_OPERATIONS.id22058614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,https://www.efinancialcareers.com/jobs-United_Kingdom-London-Data_Analyst.id23915461,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
Principal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Data_Analyst.id23775721,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
Principal Data Analyst,https://www.efinancialcareers.com/jobs-United_States-McLean-Principal_Data_Analyst.id23775304,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Principal Revenue Data Analyst,https://www.efinancialcareers.com/jobs-United_States-San_Francisco-Principal_Revenue_Data_Analyst.id23797993,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
VAT Data Analyst,https://www.efinancialcareers.com/jobs-United_Kingdom-London-VAT_Data_Analyst.id23908371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lead Data Analyst,https://www.efinancialcareers.com/jobs-United_States-St_Louis-Lead_Data_Analyst.id23756260,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
Data Analyst Rif. 98240,https://www.efinancialcareers.com/jobs-Italy-Rome-Data_Analyst_Rif_98240.id23889495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,https://www.efinancialcareers.com/jobs-India-New_Delhi-Data_Analyst.id23985738,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Data Analyst,https://www.efinancialcareers.com/jobs-India-New_Delhi-Data_Analyst.id23985724,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Business / Data Analyst (MUREX),https://www.efinancialcareers.com/jobs-Hong_Kong-Hong_Kong-Business__Data_Analyst_MUREX.id23948294,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Optimization Data Analyst,https://www.efinancialcareers.com/jobs-Singapore-Singapore-Optimization_Data_Analyst.id23985354,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Researcher Data Analyst,https://www.efinancialcareers.com/jobs-Poland-Gda%C5%84sk-Researcher_Data_Analyst.id23991403,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Data Analyst Alternance,https://www.efinancialcareers.com/jobs-France-Paris-Data_Analyst_Alternance.id23981299,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,https://www.efinancialcareers.com/jobs-India-Mumbai-Data_Analyst.id23985377,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Reference Data Analyst - Vietnamese Language Requirement (FTC),https://www.efinancialcareers.com/jobs-Ireland-Dublin-Reference_Data_Analyst_-_Vietnamese_Language_Requirement_FTC.id23751733,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Data Analyst,https://www.efinancialcareers.com/jobs-Israel-Tel_Aviv_Yaffo-Data_Analyst.id23981997,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AI Data Analyst Intern,https://www.efinancialcareers.com/jobs-Singapore-Singapore-AI_Data_Analyst_Intern.id23684939,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Business Data Analyst,https://www.efinancialcareers.com/jobs-Israel-Tel_Aviv_Yaffo-Business_Data_Analyst.id23980751,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1
Data Analyst,https://www.efinancialcareers.com/jobs-Singapore-Singapore-Data_Analyst.id23915396,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Analyst - Operations,https://www.efinancialcareers.com/jobs-United_Kingdom-London-Lead_Data_Analyst_-_Operations.id23969601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Senior Reporting and Data Analyst - 11 month FTC,https://www.efinancialcareers.com/jobs-United_Kingdom-Southampton-Senior_Reporting_and_Data_Analyst_-_11_month_FTC.id23975499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Reference Data Analyst - Vietnamese Language Requirement (FTC),https://www.efinancialcareers.com/jobs-Australia-Southbank-Reference_Data_Analyst_-_Vietnamese_Language_Requirement_FTC.id23747807,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Senior People Data Analyst,https://www.efinancialcareers.com/jobs-Netherlands-Amsterdam-Senior_People_Data_Analyst.id23984735,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0
Business & Data Analyst - B2B2C,https://www.efinancialcareers.com/jobs-Germany-Mitte-Business__Data_Analyst_-_B2B2C.id23983489,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Senior Reporting and Data Analyst,https://www.efinancialcareers.com/jobs-United_Kingdom-Southampton-Senior_Reporting_and_Data_Analyst.id23975397,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Reference Data Analyst - Vietnamese Language Requirement (FTC),https://www.efinancialcareers.com/jobs-Ireland-Dublin-Reference_Data_Analyst_-_Vietnamese_Language_Requirement_FTC.id23806383,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Client Services Data Analyst 80-100%,https://www.efinancialcareers.com/jobs-Switzerland-Pf%C3%A4ffikon-Client_Services_Data_Analyst_80-100.id23971976,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Business Data Analyst,https://www.efinancialcareers.com/jobs-Singapore-Singapore-Business_Data_Analyst.id23973064,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Data Analyst,https://www.efinancialcareers.com/jobs-Australia-Adelaide-Data_Analyst.id23972610,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst - Finance,https://www.efinancialcareers.com/jobs-United_Kingdom-London-Data_Analyst_-_Finance.id23877930,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Lead Data Analyst - Growth & Strategic Finance,https://www.efinancialcareers.com/jobs-United_Kingdom-London-Lead_Data_Analyst_-_Growth__Strategic_Finance.id23969692,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
